url,synopsis,headers
/sports/m-basebl/mtt/brenner_ryan00.html,0,"{""Position:"": ""C"", ""Height:"": ""5-11"", ""Year:"": ""Freshman"", ""Birth Date:"": ""09/26/1990"", ""Hometown:"": ""Manhasset, N.Y."", ""Weight:"": ""180"", ""High School:"": ""Chaminade"", ""name"": ""Ryan Brenner""}"
/sports/m-basebl/mtt/castaldi_joe00.html,0,"{""Position:"": ""P"", ""Height:"": ""6-2"", ""Year:"": ""Junior"", ""Birth Date:"": ""01/22/1988"", ""Hometown:"": ""Sunrise, Fla."", ""Weight:"": ""190"", ""High School:"": ""Pine Crest School"", ""name"": ""Joe Castaldi""}"
/sports/m-crewlt/2015-16/bios/straus-goldfarb_adam_sjz4,0,"{""Hometown:"": ""Princeton, N.J."", ""Major:"": ""Philosophy"", ""High School:"": ""Princeton Day School"", ""Year:"": ""Jr."", ""name"": ""Adam Straus-Goldfarb""}"
/sports/m-crewlt/2013-14/bios/wulbern_robert_4pfm,0,"{""name"": ""Robert Wulbern"", ""Year:"": ""Jr."", ""Major:"": ""Economics"", ""Hometown:"": ""Ponte Vedra Beach, Fla."", ""Residential College:"": ""Branford"", ""High School:"": ""Bolles""}"
/sports/m-footbl/2007-08/bios/coombs_matt00.html,0,"{""Position:"": ""DB"", ""Year:"": ""Senior"", ""Height:"": ""6-0"", ""Years at Yale:"": ""***"", ""Hometown:"": ""Bellevue, WA"", ""Weight:"": ""210"", ""High School:"": ""Bellevue"", ""name"": ""Matt Coombs""}"
/sports/m-footbl/2007-08/bios/dale_darius00.html,0,"{""Position:"": ""OL"", ""Year:"": ""Senior"", ""Height:"": ""6-3"", ""Years at Yale:"": ""****"", ""Hometown:"": ""Seattle, WA"", ""Weight:"": ""285"", ""High School:"": ""West Seattle"", ""name"": ""Darius Dale""}"
/sports/m-footbl/2007-08/bios/davis_ty00.html,0,"{""Position:"": ""OL"", ""Year:"": ""Senior"", ""Height:"": ""6-2"", ""Years at Yale:"": ""***"", ""Hometown:"": ""Fresno, CA"", ""Weight:"": ""260"", ""High School:"": ""Bullard"", ""name"": ""Ty Davis""}"
/sports/m-footbl/2007-08/bios/deleon-mares_isaiah00.html,0,"{""Hometown:"": ""St. Louis, Mo."", ""Position:"": ""Student Assistant Coach"", ""High School:"": ""Christian Brothers"", ""Year:"": ""Sophomore"", ""name"": ""Isaiah DeLeon-Mares""}"
/sports/m-footbl/2007-08/bios/dennison_joe00.html,0,"{""Position:"": ""WR"", ""Year:"": ""Senior"", ""Height:"": ""6-4"", ""Years at Yale:"": ""*"", ""Hometown:"": ""Centennial, CO"", ""Weight:"": ""194"", ""High School:"": ""Regis Jesuit"", ""name"": ""Joe Dennison""}"
/sports/m-footbl/2007-08/bios/denny-brown_chris00.html,0,"{""Position:"": ""WR"", ""Year:"": ""Senior"", ""Height:"": ""6-1"", ""Years at Yale:"": ""***"", ""Hometown:"": ""Burlingame, CA"", ""Weight:"": ""195"", ""High School:"": ""Junipero Serra"", ""name"": ""Chris Denny-Brown""}"
/sports/m-footbl/2007-08/bios/drake_jarrett00.html,0,"{""Position:"": ""WR"", ""Year:"": ""Senior"", ""Height:"": ""6-3"", ""Years at Yale:"": ""***"", ""Hometown:"": ""Gary, IN"", ""Weight:"": ""212"", ""High School:"": ""Thornridge (IL)"", ""name"": ""Jarrett Drake""}"
/sports/m-footbl/2007-08/bios/driftmier_lee00.html,0,"{""Position:"": ""LB"", ""Year:"": ""Senior"", ""Height:"": ""6-3"", ""Years at Yale:"": ""***"", ""Hometown:"": ""Bellevue, WA"", ""Weight:"": ""230"", ""High School:"": ""Bellevue"", ""name"": ""Lee Driftmier""}"
/sports/m-basebl/2013-14/bios/cook_charles_xou8,0,"{""Position:"": ""OF"", ""Year:"": ""Jr."", ""Height:"": ""6-3"", ""Major:"": ""Undeclared"", ""Residential College:"": ""Silliman"", ""Hometown:"": ""Dallas, Texas"", ""Bats/Throws:"": ""R/R"", ""Weight:"": ""210"", ""High School:"": ""Parish Episcopal School"", ""name"": ""Charles Cook""}"
/sports/m-footbl/2007-08/bios/duvall_mike00.html,0,"{""Position:"": ""TE"", ""Year:"": ""Senior"", ""Height:"": ""6-5"", ""Years at Yale:"": ""*"", ""Hometown:"": ""Mission Hills, KS"", ""Weight:"": ""230"", ""High School:"": ""Shawnee Mission East"", ""name"": ""Mike Duvall""}"
/sports/m-crewlt/2010-11/bios/bailey_chad_edod,0,"{""Hometown:"": ""Folsom, Calif."", ""High School:"": ""Folsom"", ""Year:"": ""Jr."", ""name"": ""Chad Bailey""}"
/sports/m-footbl/2007-08/bios/ebeling_ken00.html,0,"{""Position:"": ""WR"", ""Year:"": ""Senior"", ""Height:"": ""6-3"", ""Years at Yale:"": ""***"", ""Hometown:"": ""Mahwah, NJ"", ""Weight:"": ""201"", ""High School:"": ""Mahwah"", ""name"": ""Ken Ebeling""}"
/sports/m-footbl/2007-08/bios/farrell_jordan00.html,0,"{""Position:"": ""RB"", ""Year:"": ""Junior"", ""Height:"": ""5-10"", ""Years at Yale:"": ""**"", ""Hometown:"": ""Orland Park, IL"", ""Weight:"": ""210"", ""High School:"": ""Providence Catholic"", ""name"": ""Jordan Farrell""}"
/sports/m-footbl/2007-08/bios/fodor_ryan00.html,0,"{""Position:"": ""QB"", ""Year:"": ""Senior"", ""Height:"": ""6-2"", ""Years at Yale:"": ""**"", ""Hometown:"": ""Madison, CT"", ""Weight:"": ""215"", ""High School:"": ""Daniel Hand"", ""name"": ""Ryan Fodor""}"
