,High_School_ID,High School
0,0,North County
1,1,South Kent School
2,2,Vista Murrieta
3,3,Lake Brantley
4,4,Paul D. Schreiber High School
5,5,Panel Vallei
6,6,Eden Prairie High School
7,7,Governor Simcoe
8,8,Cy-Fair
9,9,-
10,10,Somerset Academy
11,11,Phillips Exeter Academy
12,12,Brewster Academy
13,13,Phillips Exeter
14,14,Montgomery Blair
15,15,Deep Run
16,16,Newton North High School
17,17,Robinson
18,18,Choate Rosemary Hall (CT)
19,19,Jericho
20,20,Roosevelt High School
21,21,Muskegon (USHL)
22,22,Upper Canada College
23,23,Casa Grande
24,24,Whiteland Community
25,25,Groton
26,26,Saratoga
27,27,Auckland Grammar
28,28,Princeton Day School
29,29,Georgetown Visitation
30,30,Morgantown
31,31,Lawrenceville School
32,32,Nichols School
33,33,Kinkaid School
34,34,South Eugene
35,35,Glenbard West
36,36,Roxbury Latin
37,37,IES Velazquez
38,38,Colegio San Ignacio de Loyola
39,39,Georgetown Preparatory School
40,40,Detroit Country Day
41,41,Eastport South Manor
42,42,Park School of Baltimore
43,43,Bishop O'Dowd
44,44,Valparaiso HS
45,45,Mahopac
46,46,New Covenant Academy
47,47,Sewickley Academy
48,48,Olathe East
49,49,DeSoto Central
50,50,Capistrano Valley
51,51,Chadwick
52,52,Belmont Hill
53,53,Charter School of Wilmington
54,54,Hotchkiss
55,55,Bishop's School
56,56,Christian Brothers
57,57,Mt. Lebanon
58,58,Cathedral High School
59,59,Ventura High School
60,60,Sonoma Valley HS
61,61,Harvard-Westlake
62,62,Poly Prep Country Day
63,63,Daniel Hand
64,64,Deerfield Academy
65,65,Liberty
66,66,Reno
67,67,Notre Dame Academy
68,68,Toms River High School North
69,69,Ravenwood High School
70,70,Henry M. Gunn
71,71,Hinsdale Central
72,72,University School of Nashville
73,73,Eton College
74,74,Sacred Heart Academy
75,75,Omaha (USHL)
76,76,Sentinel Secondary School
77,77,Davis Senior High School
78,78,Cathedral Catholic
79,79,Theodore Roosevelt
80,80,Ridge
81,81,University
82,82,Gilbert High School
83,83,Ansonia
84,84,Westminster
85,85,Columbia
86,86,New Trier
87,87,The Ellis School
88,88,Ransom Everglades
89,89,East Greenwich High School
90,90,Choate Rosemary Hall
91,91,Delbarton School
92,92,Bethesda-Chevy Chase
93,93,Kingwood
94,94,Radley College
95,95,Blake School
96,96,Thacher
97,97,Collegiate HS
98,98,St. Xavier
99,99,Belen Jesuit Preparatory School
100,100,Hackley School
101,101,Marlborough School
102,102,Rock Island
103,103,Rocky Hill
104,104,The Pingry School
105,105,St. Clement's School
106,106,Birmingham Seaholm
107,107,Noble and Greenough School
108,108,Rye Country Day
109,109,Westminster Schools
110,110,Guilford
111,111,Episcopal Academy
112,112,University College School
